f,a,b
1058,0.8,3.95
420,1,5.1
323,1.1,6.8
280,1.2,7.8
230,0.5,3.8
180,0.65,4.8
130,0.7,6.6
80,0.4,5.5
50,0.2,4.4
40,0.5,10.4
