stellung der messuhr in cm, biegung in micrometer
4,90
10,410
6,175
12,570
8,280
14,760
16,965
22,1700
18,1190
24,1990
20,1420
26,2280
28,2600
34,3500
30,2870
36,3880
32,3190
38,4200
40,4480
46,5580
