time [µs]	Amp[V]	HF [V]	TGC [dB]
12,4	0,090	-0,006	0,000
12,5	0,059	-0,061	0,157
12,6	0,039	-0,006	0,157
12,7	0,031	0,026	0,157
12,8	0,033	0,002	0,157
12,9	0,041	-0,045	0,157
13,0	0,053	-0,014	0,157
13,1	0,063	0,049	0,157
13,2	0,065	0,049	0,157
13,3	0,057	-0,021	0,000
13,4	0,042	-0,045	0,000
13,5	0,026	-0,006	0,157
13,6	0,019	0,010	0,157
13,7	0,022	-0,014	0,157
13,8	0,031	0,002	0,157
13,9	0,038	0,042	0,157
14,0	0,037	0,026	0,157
14,1	0,029	-0,006	0,157
14,2	0,021	-0,006	0,157
14,3	0,021	-0,014	0,157
14,4	0,034	-0,037	0,157
14,5	0,056	-0,037	0,157
14,6	0,078	0,034	0,157
14,7	0,093	0,089	0,157
14,8	0,100	0,034	0,000
14,9	0,102	-0,077	0,157
15,0	0,106	-0,100	0,157
15,1	0,115	0,002	0,157
15,2	0,122	0,112	0,157
15,3	0,118	0,065	0,157
15,4	0,099	-0,053	0,157
15,5	0,072	-0,084	0,157
15,6	0,057	-0,029	0,157
15,7	0,077	-0,061	0,157
15,8	0,146	-0,014	0,157
15,9	0,259	0,215	0,157
16,0	0,392	0,333	0,000
16,1	0,512	-0,077	0,157
16,2	0,590	-0,581	0,157
16,3	0,613	-0,344	0,157
16,4	0,583	0,309	0,157
16,5	0,517	0,514	0,000
16,6	0,436	0,089	0,157
16,7	0,353	-0,289	0,157
16,8	0,277	-0,234	0,157
16,9	0,209	0,034	0,157
17,0	0,149	0,144	0,157
17,1	0,098	0,057	0,157
17,2	0,057	-0,037	0,157
17,3	0,032	-0,021	0,157
17,4	0,020	0,018	0,157
17,5	0,021	0,002	0,157
17,6	0,028	-0,029	0,157
17,7	0,035	-0,014	0,000
17,8	0,041	0,026	0,157
17,9	0,044	0,042	0,157
18,0	0,046	-0,006	0,157
18,1	0,049	-0,045	0,157
18,2	0,052	-0,029	0,157
18,3	0,056	0,034	0,157
18,4	0,059	0,057	0,157
18,5	0,060	0,002	0,157
18,6	0,060	-0,053	0,000
18,7	0,059	-0,045	0,157
18,8	0,055	0,010	0,157
18,9	0,051	0,049	0,157
19,0	0,046	0,034	0,000
19,1	0,043	-0,014	0,157
19,2	0,040	-0,037	0,157
19,3	0,038	-0,021	0,157
19,4	0,035	0,018	0,157
19,5	0,033	0,034	0,000
19,6	0,032	0,002	0,000
19,7	0,033	-0,029	0,157
19,8	0,036	0,002	0,157
19,9	0,042	0,042	0,157
20,0	0,048	0,026	0,157
20,1	0,052	-0,037	0,157
20,2	0,053	-0,045	0,157
20,3	0,051	0,002	0,157
20,4	0,044	0,042	0,157
20,5	0,035	0,026	0,000
20,6	0,026	-0,006	0,157
20,7	0,019	-0,021	0,157
20,8	0,016	0,002	0,157
20,9	0,014	0,010	0,157
21,0	0,012	-0,006	0,157
21,1	0,011	-0,006	0,000
21,2	0,010	0,010	0,157
21,3	0,012	0,010	0,157
21,4	0,016	0,010	0,157
21,5	0,018	-0,006	0,157
21,6	0,016	-0,014	0,157
21,7	0,010	0,002	0,157
21,8	0,009	0,010	0,157
21,9	0,017	-0,014	0,157
22,0	0,035	-0,021	0,000
22,1	0,051	0,018	0,157
22,2	0,056	0,057	0,157
22,3	0,046	0,018	0,000
22,4	0,035	-0,037	0,157
22,5	0,045	0,010	0,157
22,6	0,096	0,010	0,157
22,7	0,190	-0,187	0,157
22,8	0,308	-0,203	0,000
22,9	0,424	0,215	0,157
23,0	0,512	0,498	0,157
23,1	0,563	0,136	0,157
23,2	0,579	-0,455	0,157
23,3	0,568	-0,518	0,157
23,4	0,538	0,002	0,157
23,5	0,495	0,427	0,157
23,6	0,442	0,372	0,157
23,7	0,386	-0,045	0,157
23,8	0,335	-0,305	0,157
23,9	0,293	-0,234	0,157
24,0	0,259	0,042	0,157
24,1	0,229	0,215	0,157
24,2	0,201	0,152	0,157
24,3	0,173	-0,029	0,157
24,4	0,148	-0,140	0,157
24,5	0,127	-0,100	0,157
24,6	0,112	0,018	0,157
24,7	0,100	0,089	0,000
24,8	0,089	0,073	0,157
24,9	0,078	-0,006	0,157
25,0	0,068	-0,061	0,157
25,1	0,061	-0,053	0,157
25,2	0,059	0,002	0,157
25,3	0,059	0,049	0,157
25,4	0,058	0,049	0,157
25,5	0,055	-0,014	0,157
25,6	0,049	-0,045	0,157
25,7	0,042	-0,029	0,157
25,8	0,038	0,018	0,157
25,9	0,035	0,034	0,000
26,0	0,033	0,010	0,157
26,1	0,029	-0,021	0,157
26,2	0,022	-0,021	0,157
26,3	0,014	-0,006	0,157
26,4	0,009	0,002	0,157
26,5	0,011	-0,006	0,157
26,6	0,019	0,010	0,157
26,7	0,033	0,034	0,157
26,8	0,048	0,018	0,157
26,9	0,061	-0,045	0,157
27,0	0,069	-0,061	0,157
27,1	0,071	-0,006	0,157
27,2	0,070	0,065	0,157
27,3	0,065	0,049	0,157
27,4	0,058	-0,014	0,000
27,5	0,050	-0,045	0,157
27,6	0,043	-0,037	0,157
27,7	0,038	-0,006	0,157
27,8	0,036	0,026	0,000
27,9	0,035	0,034	0,157
28,0	0,034	0,018	0,000
28,1	0,033	-0,014	0,157
28,2	0,029	-0,029	0,157
28,3	0,024	-0,014	0,000
28,4	0,017	0,010	0,157
28,5	0,012	0,010	0,157
28,6	0,008	0,002	0,000
28,7	0,007	-0,006	0,157
28,8	0,006	-0,006	0,157
28,9	0,007	-0,006	0,157
29,0	0,008	0,002	0,157
29,1	0,010	0,010	0,157
29,2	0,014	0,002	0,157
29,3	0,018	-0,014	0,157
29,4	0,022	-0,021	0,157
29,5	0,027	0,002	0,157
29,6	0,030	0,026	0,157
29,7	0,033	0,026	0,000
29,8	0,035	-0,006	0,000
29,9	0,036	-0,037	0,157
30,0	0,035	-0,021	0,157
30,1	0,031	0,010	0,157
30,2	0,027	0,026	0,157
30,3	0,021	0,010	0,000
30,4	0,016	-0,014	0,157
30,5	0,010	-0,006	0,157
30,6	0,007	0,002	0,157
30,7	0,005	-0,006	0,157
30,8	0,007	-0,006	0,157
30,9	0,010	0,002	0,157
31,0	0,015	0,010	0,157
31,1	0,019	0,018	0,157
31,2	0,022	0,002	0,157
31,3	0,024	-0,021	0,157
31,4	0,026	-0,021	0,157
31,5	0,028	-0,006	0,157
31,6	0,033	0,026	0,157
31,7	0,038	0,034	0,157
31,8	0,043	0,002	0,157
31,9	0,045	-0,045	0,157
32,0	0,047	-0,029	0,157
32,1	0,047	0,010	0,157
32,2	0,047	0,049	0,157
32,3	0,047	0,026	0,157
32,4	0,048	-0,021	0,157
32,5	0,047	-0,045	0,157
32,6	0,044	-0,029	0,157
32,7	0,040	0,010	0,157
32,8	0,035	0,034	0,157
32,9	0,031	0,026	0,000
33,0	0,029	0,002	0,157
33,1	0,029	-0,021	0,157
33,2	0,030	-0,029	0,157
33,3	0,032	-0,014	0,157
33,4	0,033	0,018	0,157
33,5	0,033	0,034	0,157
33,6	0,033	0,010	0,157
33,7	0,033	-0,021	0,157
33,8	0,030	-0,029	0,157
33,9	0,026	-0,006	0,157
34,0	0,020	0,018	0,157
34,1	0,014	0,010	0,157
34,2	0,009	0,002	0,157
34,3	0,006	-0,006	0,157
34,4	0,005	-0,006	0,157
34,5	0,005	0,002	0,157
34,6	0,005	0,002	0,157
34,7	0,005	0,002	0,157
34,8	0,006	-0,006	0,157
34,9	0,008	0,002	0,157
35,0	0,009	0,010	0,157
35,1	0,011	0,002	0,157
35,2	0,012	-0,006	0,157
