time [µs]	Amp[V]	HF [V]	TGC [dB]
19,2	0,005	0,003	0,157
19,3	0,006	0,003	0,157
19,4	0,007	0,003	0,157
19,5	0,007	-0,005	0,157
19,6	0,005	0,003	0,157
19,7	0,003	0,003	0,157
19,8	0,004	0,003	0,157
19,9	0,006	0,003	0,157
20,0	0,009	-0,005	0,157
20,1	0,011	-0,005	0,157
20,2	0,010	0,011	0,157
20,3	0,007	0,003	0,157
20,4	0,004	0,003	0,157
20,5	0,003	0,003	0,157
20,6	0,004	0,003	0,157
20,7	0,006	-0,005	0,157
20,8	0,006	0,003	0,157
20,9	0,006	0,003	0,157
21,0	0,004	0,003	0,157
21,1	0,003	0,003	0,157
21,2	0,002	0,003	0,157
21,3	0,003	0,003	0,157
21,4	0,004	0,003	0,157
21,5	0,005	0,003	0,157
21,6	0,005	-0,005	0,157
21,7	0,005	0,003	0,157
21,8	0,006	0,003	0,157
21,9	0,007	-0,005	0,157
22,0	0,007	-0,005	0,157
22,1	0,007	0,003	0,157
22,2	0,006	0,003	0,157
22,3	0,005	0,003	0,157
22,4	0,004	0,003	0,157
22,5	0,004	0,003	0,157
22,6	0,004	0,003	0,157
22,7	0,004	0,003	0,157
22,8	0,004	0,003	0,157
22,9	0,004	0,003	0,157
23,0	0,004	0,003	0,157
23,1	0,004	0,003	0,157
23,2	0,004	0,003	0,157
23,3	0,003	0,003	0,157
23,4	0,003	0,003	0,157
23,5	0,003	0,003	0,157
23,6	0,004	0,003	0,157
23,7	0,006	0,003	0,157
23,8	0,007	-0,005	0,157
23,9	0,007	-0,005	0,157
24,0	0,006	0,003	0,157
24,1	0,004	0,003	0,157
24,2	0,003	0,003	0,157
24,3	0,004	0,003	0,157
24,4	0,006	-0,005	0,157
24,5	0,008	-0,005	0,157
24,6	0,007	0,003	0,157
24,7	0,005	0,003	0,157
24,8	0,003	0,003	0,157
24,9	0,002	0,003	0,157
25,0	0,003	0,003	0,157
25,1	0,005	0,003	0,157
25,2	0,006	-0,005	0,157
25,3	0,006	0,003	0,157
25,4	0,005	0,003	0,157
25,5	0,004	0,003	0,157
25,6	0,004	0,003	0,157
25,7	0,005	0,003	0,157
25,8	0,006	0,003	0,157
25,9	0,006	-0,005	0,157
26,0	0,006	-0,005	0,157
26,1	0,006	0,003	0,157
26,2	0,006	0,003	0,157
26,3	0,006	0,003	0,157
26,4	0,006	0,003	0,157
26,5	0,005	-0,005	0,157
26,6	0,004	0,003	0,157
26,7	0,004	0,003	0,157
26,8	0,004	0,003	0,000
26,9	0,005	0,003	0,157
27,0	0,005	0,003	0,157
27,1	0,005	-0,005	0,157
27,2	0,004	0,003	0,157
27,3	0,005	0,003	0,157
27,4	0,005	0,003	0,157
27,5	0,006	-0,005	0,157
27,6	0,005	-0,005	0,157
27,7	0,005	0,003	0,157
27,8	0,005	0,003	0,157
27,9	0,005	0,003	0,157
28,0	0,006	-0,005	0,157
28,1	0,006	-0,005	0,157
28,2	0,006	0,003	0,157
28,3	0,005	0,003	0,157
28,4	0,005	0,003	0,157
28,5	0,006	-0,005	0,157
28,6	0,007	-0,005	0,157
28,7	0,007	-0,005	0,157
28,8	0,006	0,003	0,157
28,9	0,004	0,003	0,157
29,0	0,004	0,003	0,157
29,1	0,004	0,003	0,157
29,2	0,006	-0,005	0,157
29,3	0,007	-0,005	0,157
29,4	0,007	0,003	0,157
29,5	0,005	0,003	0,157
29,6	0,004	0,003	0,157
29,7	0,004	0,003	0,157
29,8	0,005	0,003	0,157
29,9	0,006	-0,005	0,157
30,0	0,005	0,003	0,157
30,1	0,004	0,003	0,157
30,2	0,003	0,003	0,157
30,3	0,003	0,003	0,157
30,4	0,005	0,003	0,157
30,5	0,006	-0,005	0,157
30,6	0,007	-0,005	0,157
30,7	0,006	0,003	0,157
30,8	0,004	0,003	0,157
30,9	0,003	0,003	0,157
31,0	0,003	0,003	0,157
31,1	0,004	0,003	0,157
31,2	0,005	-0,005	0,157
31,3	0,006	0,003	0,157
31,4	0,006	0,003	0,157
31,5	0,007	-0,005	0,157
31,6	0,006	-0,005	0,157
31,7	0,006	0,003	0,157
31,8	0,005	0,003	0,157
31,9	0,005	0,003	0,157
32,0	0,004	0,003	0,157
32,1	0,003	0,003	0,157
32,2	0,003	0,003	0,157
32,3	0,003	0,003	0,157
32,4	0,003	0,003	0,157
32,5	0,004	0,003	0,157
32,6	0,005	0,003	0,157
32,7	0,006	-0,005	0,157
32,8	0,006	-0,005	0,157
32,9	0,006	0,003	0,157
33,0	0,004	0,003	0,157
33,1	0,003	0,003	0,157
33,2	0,003	0,003	0,157
33,3	0,004	0,003	0,157
33,4	0,006	-0,005	0,157
33,5	0,007	-0,005	0,157
33,6	0,008	-0,005	0,157
33,7	0,007	0,003	0,157
33,8	0,006	0,003	0,157
33,9	0,004	0,003	0,157
34,0	0,004	0,003	0,157
34,1	0,004	0,003	0,157
34,2	0,005	0,003	0,157
34,3	0,005	-0,005	0,157
34,4	0,006	0,003	0,157
34,5	0,005	0,003	0,157
34,6	0,005	-0,005	0,157
34,7	0,005	0,003	0,157
34,8	0,005	0,003	0,157
34,9	0,006	0,003	0,157
35,0	0,006	0,003	0,157
35,1	0,006	-0,005	0,157
35,2	0,005	0,003	0,157
35,3	0,004	0,003	0,157
35,4	0,005	0,003	0,157
35,5	0,008	0,003	0,157
35,6	0,011	0,003	0,157
35,7	0,013	0,019	0,157
35,8	0,011	0,003	0,000
35,9	0,008	0,003	0,157
36,0	0,004	0,003	0,157
36,1	0,002	0,003	0,157
36,2	0,003	0,003	0,157
36,3	0,004	0,003	0,157
36,4	0,004	0,003	0,157
36,5	0,004	0,003	0,157
36,6	0,003	0,003	0,157
36,7	0,003	0,003	0,157
36,8	0,003	0,003	0,157
36,9	0,005	0,003	0,157
37,0	0,006	-0,005	0,157
37,1	0,006	0,003	0,157
37,2	0,005	0,003	0,157
37,3	0,004	0,003	0,157
37,4	0,004	0,003	0,157
37,5	0,004	0,003	0,157
37,6	0,006	0,003	0,157
37,7	0,006	0,003	0,157
37,8	0,006	0,003	0,157
37,9	0,006	-0,005	0,157
38,0	0,005	0,003	0,157
38,1	0,005	-0,005	0,157
38,2	0,004	0,003	0,157
38,3	0,004	-0,005	0,157
38,4	0,004	0,003	0,157
38,5	0,004	0,003	0,157
38,6	0,004	0,003	0,157
38,7	0,005	0,003	0,157
38,8	0,005	-0,005	0,157
38,9	0,005	0,003	0,157
39,0	0,004	0,003	0,157
39,1	0,004	0,003	0,157
39,2	0,005	0,003	0,157
39,3	0,006	0,003	0,157
39,4	0,007	-0,005	0,157
39,5	0,007	-0,005	0,157
39,6	0,006	0,003	0,157
39,7	0,005	0,003	0,157
39,8	0,005	0,003	0,157
39,9	0,005	-0,005	0,157
40,0	0,005	0,003	0,157
40,1	0,005	-0,005	0,157
40,2	0,004	0,003	0,157
40,3	0,003	0,003	0,157
40,4	0,003	0,003	0,157
40,5	0,004	0,003	0,157
40,6	0,006	0,003	0,157
40,7	0,007	-0,005	0,157
40,8	0,007	-0,005	0,157
40,9	0,006	-0,005	0,157
41,0	0,005	0,003	0,157
41,1	0,004	0,003	0,157
41,2	0,004	0,003	0,157
41,3	0,006	-0,005	0,157
41,4	0,007	-0,005	0,157
41,5	0,007	-0,005	0,157
41,6	0,007	0,003	0,157
41,7	0,005	0,003	0,157
41,8	0,003	0,003	0,157
41,9	0,002	0,003	0,157
42,0	0,002	0,003	0,157
42,1	0,004	0,003	0,157
42,2	0,005	0,003	0,157
42,3	0,006	-0,005	0,157
42,4	0,007	-0,005	0,157
42,5	0,006	0,003	0,157
42,6	0,005	0,003	0,157
42,7	0,004	0,003	0,157
42,8	0,003	0,003	0,157
42,9	0,003	0,003	0,157
43,0	0,003	0,003	0,157
43,1	0,003	0,003	0,157
43,2	0,004	0,003	0,157
43,3	0,005	0,003	0,157
43,4	0,006	0,003	0,157
43,5	0,006	-0,005	0,157
43,6	0,005	0,003	0,157
43,7	0,003	0,003	0,157
43,8	0,002	0,003	0,157
43,9	0,003	0,003	0,157
44,0	0,004	0,003	0,157
44,1	0,005	0,003	0,157
44,2	0,005	0,003	0,157
44,3	0,004	-0,005	0,157
44,4	0,004	0,003	0,157
44,5	0,004	0,003	0,157
44,6	0,005	0,003	0,157
44,7	0,006	-0,005	0,157
44,8	0,004	0,003	0,157
44,9	0,002	0,003	0,157
45,0	0,002	0,003	0,157
45,1	0,004	0,003	0,157
45,2	0,006	0,003	0,157
45,3	0,008	0,003	0,157
45,4	0,007	-0,005	0,157
45,5	0,006	-0,005	0,157
45,6	0,013	-0,013	0,157
45,7	0,034	-0,013	0,157
45,8	0,075	0,058	0,157
45,9	0,134	0,105	0,157
46,0	0,206	-0,068	0,000
46,1	0,279	-0,288	0,157
46,2	0,346	-0,100	0,157
46,3	0,398	0,294	0,157
46,4	0,429	0,381	0,157
46,5	0,435	-0,084	0,157
46,6	0,418	-0,407	0,000
46,7	0,383	-0,226	0,157
46,8	0,339	0,152	0,157
46,9	0,295	0,294	0,000
47,0	0,255	0,129	0,157
47,1	0,220	-0,123	0,157
47,2	0,189	-0,186	0,157
47,3	0,161	-0,052	0,157
47,4	0,136	0,089	0,157
47,5	0,113	0,113	0,157
47,6	0,093	0,026	0,157
47,7	0,077	-0,052	0,157
47,8	0,065	-0,060	0,000
47,9	0,055	-0,021	0,157
48,0	0,048	0,034	0,157
48,1	0,043	0,042	0,157
48,2	0,039	0,011	0,157
48,3	0,034	-0,021	0,157
48,4	0,028	-0,029	0,157
48,5	0,021	-0,005	0,157
48,6	0,015	0,011	0,157
48,7	0,012	0,011	0,000
48,8	0,013	0,003	0,000
48,9	0,014	-0,013	0,157
49,0	0,015	-0,013	0,157
49,1	0,015	0,003	0,157
49,2	0,014	0,011	0,157
49,3	0,013	0,011	0,000
